index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
Gesamt,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Baden-Württemberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niedersachsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinland-Pfalz,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen-Anhalt,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unbekannt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
