index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
Gesamt,3025,2,0,0,11,107,368,637,620,551,289,205,143,62,19,3,5,2,1
LK Breisgau-Hochschwarzwald,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LK Emmendingen,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
SK Freiburg i.Breisgau,7,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0
LK Konstanz,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Lörrach,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Ortenaukreis,8,0,0,0,0,0,1,4,1,1,1,0,0,0,0,0,0,0,0
LK Rottweil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Schwarzwald-Baar-Kreis,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
LK Tuttlingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Waldshut,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SK Baden-Baden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Calw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Enzkreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Freudenstadt,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SK Heidelberg,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
SK Karlsruhe,7,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0
LK Karlsruhe,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SK Mannheim,7,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0
LK Neckar-Odenwald-Kreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Pforzheim,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
LK Rastatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Rhein-Neckar-Kreis,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
LK Böblingen,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
LK Esslingen,4,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
LK Göppingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Heidenheim,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SK Heilbronn,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Heilbronn,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Hohenlohekreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Ludwigsburg,7,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0
LK Main-Tauber-Kreis,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Ostalbkreis,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Rems-Murr-Kreis,5,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0
LK Schwäbisch Hall,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SK Stuttgart,43,0,0,0,1,2,6,9,6,9,3,6,1,0,0,0,0,0,0
LK Alb-Donau-Kreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Biberach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Bodenseekreis,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LK Ravensburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Reutlingen,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LK Sigmaringen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Tübingen,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SK Ulm,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
LK Zollernalbkreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Ansbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
